Description,Account,Amount,DID,AID
AUX*MYPERFRESUME 8552 855-213-03 48           12/13,Personal,24.95,37,541
BARNESNOBLE 330 East 1 OREM UT 903043  08/26,Personal,17.11,38,541
BARNESNOBLE 330 East 1 OREM UT 958627  05/05,Personal,33.18,38,541
BARREL & ASHES STUDIO CITY CA 10/19,Meals and Entertainment,82.52,39,539
BASS #4632 LEHI UT 11/19,Clothing,74.69,40,525
BATH & BODY WORKS 4383 OREM UT 113302  08/29,Supplies,46.91,41,553
BATH & BODY WORKS 4383 OREM UT 442171  09/26,office expense,96.54,41,540
BATH & BODY WORKS 4383 OREM UT 664394  09/11,Personal,38.61,41,541
BEDBATH&BEYOND# 50 Wes SOUTH ORE M UT 310493  08/15,office expense,172.02,42,540
BEST IN MUSIC OREM UT 09/26,office expense,47,43,540
BETO'S MEXICAN FOOD OREM UT 01/01,Meals and Entertainment,13.78,44,539
BETO'S MEXICAN FOOD OREM UT 07/14,Meals and Entertainment,6.23,44,539
BETO'S MEXICAN FOOD OREM UT 09/07,Meals and Entertainment,13.23,44,539
BETO'S MEXICAN FOOD OREM UT 09/17,Meals and Entertainment,11.51,44,539
BETO'S MEXICAN FOOD OREM UT 09/20,Meals and Entertainment,5.51,44,539
BETO'S MEXICAN FOOD OREM UT 09/21,Meals and Entertainment,11.84,44,539
BETO'S MEXICAN FOOD OREM UT 10/17,Meals and Entertainment,5.48,44,539
BIG DADDYS PIZZA SOUTH JORDAN UT 05/14,Meals and Entertainment,5.59,45,539
BIKRAM YOGA THANKSGIVNG LEHI UT 05/03,Advertising,21,16,513
bill.resumegenius.com LONDON 06/28,Advertising,0.95,46,513
BLAZE PIZZA #1279 OREM UT 01/23,Meals and Entertainment,12.8,47,539
BOHME - UNIVERSITY UNIVERSITY UT 02/12,Clothing,115.4,48,525
BOOK X CHANGE OREM UT 01/10,Employee Benefits,254.75,49,530
BOOK-X-CHANGE OREM UT 08/23,Employee Benefits,120,49,530
BURGER KING #10646 OREM UT 01/16,Meals and Entertainment,12.69,50,539
BURGER KING #24058 SALT LAKE CIT UT          08/18,Business Trip,5.48,50,524
BURGER KING FD CT GEG SPOKANE WA 02/17,Meals and Entertainment,6.84,50,539
BUTTERBEER CART UNIVERSAL CTY CA 10/19,Meals and Entertainment,7.65,51,539
BYU CREAMERY PROVO UT 05/03,Meals and Entertainment,5.75,52,539
BYU JAMBA JUICE PROVO UT 05/03,Meals and Entertainment,6.16,53,539
BYU TAKEOUT PROVO UT 06/24,Meals and Entertainment,54.49,54,539
CAFE ALLURE ST GEORGE UT 04/15,Meals and Entertainment,68.73,55,539
CAFE RIO OREM OREM UT 03/07,Meals and Entertainment,19.14,56,539
CAFE RIO OREM OREM UT 03/20,Meals and Entertainment,17.56,56,539
CAFE RIO OREM OREM UT 05/05,Meals and Entertainment,9.48,56,539
CAFE RIO OREM OREM UT 05/10,Meals and Entertainment,18.71,56,539
CAFE RIO OREM OREM UT 05/21,Meals and Entertainment,19.14,56,539
CAFE RIO OREM OREM UT 06/02,Meals and Entertainment,7.54,56,539
CAFE RIO OREM OREM UT 06/16,Meals and Entertainment,18.84,56,539
CAFE RIO OREM OREM UT 06/20,Meals and Entertainment,17.76,56,539
CAFE RIO OREM OREM UT 06/25,Meals and Entertainment,12.54,56,539
CAFE RIO OREM OREM UT 07/14,Meals and Entertainment,14.53,56,539
CAFE RIO OREM OREM UT 08/02,Meals and Entertainment,17.95,56,539
CAFE RIO OREM OREM UT 08/04,Meals and Entertainment,20.32,56,539
CAFE RIO OREM OREM UT 08/10,Meals and Entertainment,17.56,56,539
CAFE RIO OREM OREM UT 08/15,Meals and Entertainment,5.65,56,539
CAFE RIO OREM OREM UT 08/16,Meals and Entertainment,9.26,56,539
CAFE RIO OREM OREM UT 10/03,Meals and Entertainment,27.78,56,539
CAFE RIO OREM OREM UT 10/14,Meals and Entertainment,17.56,56,539
CAFE RIO OREM OREM UT 10/15,Meals and Entertainment,11.51,56,539
CAFE RIO OREM OREM UT 10/27,Meals and Entertainment,19.57,56,539
CAFE RIO OREM OREM UT 11/05,Meals and Entertainment,6.48,56,539
CAFE RIO OREM OREM UT 11/13,Meals and Entertainment,1.28,56,539
CAFE RIO OREM OREM UT 11/13,Meals and Entertainment,17.56,56,539
CAFE RIO OREM OREM UT 11/29,Meals and Entertainment,20.25,56,539
CAFE RIO SOUTH JORDAN SOUTH JORD AN UT        06/05,Meals and Entertainment,8.32,56,539
CAFE RIO SOUTH JORDAN SOUTH JORD AN UT        07/11,Meals and Entertainment,26.07,56,539
CAFE RIO SOUTH JORDAN SOUTH JORD AN UT        07/15,Meals and Entertainment,17.95,56,539
CAFE RIO SOUTH JORDAN SOUTH JORD AN UT        12/12,Meals and Entertainment,35.38,56,539
CAFE RIO SOUTH JORDAN SOUTH JORD AN UT        12/31,Meals and Entertainment,46.65,56,539
CAFE RIO ST GEORGE ST. GEORGE UT 10/22,Meals and Entertainment,18.75,56,539
CAFE ZUPAS - DISTRICT SOUTH JORD AN UT        05/20,Meals and Entertainment,10.81,57,539
CAFE ZUPAS - DISTRICT SOUTH JORD AN UT        05/24,Meals and Entertainment,10.81,57,539
CAFE ZUPAS - DISTRICT SOUTH JORD AN UT        06/04,Meals and Entertainment,25.3,57,539
CAFE ZUPAS - DISTRICT SOUTH JORD AN UT        08/20,Meals and Entertainment,10.56,57,539
CAFE ZUPAS - DISTRICT SOUTH JORD AN UT        12/21,Meals and Entertainment,22.4,57,539
CAFE ZUPAS - DRAPER DRAPER UT 12/11,Meals and Entertainment,7.46,57,539
CAFE ZUPAS - MURRAY MURRAY UT 03/01,Meals and Entertainment,10.6,57,539
CAFE ZUPAS - MURRAY MURRAY UT 05/13,Meals and Entertainment,7.47,57,539
CAFE ZUPAS - OREM OREM UT 03/09,Meals and Entertainment,13.03,57,539
CAFE ZUPAS - OREM OREM UT 03/27,Meals and Entertainment,21.12,57,539
CAFE ZUPAS - OREM OREM UT 06/15,Meals and Entertainment,15.08,57,539
CAFE ZUPAS - OREM OREM UT 06/22,Meals and Entertainment,20.25,57,539
CAFE ZUPAS - OREM OREM UT 08/19,Meals and Entertainment,7.46,57,539
CAFE ZUPAS - OREM OREM UT 08/22,Meals and Entertainment,20.25,57,539
CAFE ZUPAS - OREM OREM UT 10/27,Meals and Entertainment,12.95,57,539
CAFE ZUPAS - OREM OREM UT 11/11,Meals and Entertainment,27.14,57,539
CAFE ZUPAS - OREM OREM UT 11/28,Meals and Entertainment,8.62,57,539
Campus Bookstor 4600 SALT LAKE C IT UT428918  06/12,Abby's College,11.16,58,510
Campus Bookstor 4600 Salt Lake C it UT810445  05/14,Abby's College,136,58,510
Campus Bookstor 4600 SALT LAKE C IT UT938332  01/08,Abby's College,52.75,58,510
CARNIVAL CRUISE TKT/RES MIAMI FL 01/09,Travel,1210.5,59,558
"carters, Inc. 877-333-0117 GA 12/02",Clothing,52.78,60,525
CASEYS 1705 MULHOLLAND NAUVOO IL 924135  07/19,Business Trip,2.97,61,524
CASEYS 401 W MAPLE ST CENTERVILL E IA 949889  07/19,Business Trip,1.59,61,524
CCRI BY UPMA SALT LAKE CIT UT 08/12,Parking,8,61,518
CENEX MENTZER I 80 S NORTH PLATT E NE 853351  07/18,Gas,0.57,62,516
Ch JesusChrist   DONATION   5447 4901        WEB ID: 2870834341,tithing,430,64,556
Ch JesusChrist   DONATION   7159 2307        WEB ID: 2870834341,Charitable Contributions,420,64,567
CHARLIE CHOW'S DRA SALT LAKE CIT UT          07/02,Meals and Entertainment,19.05,65,539
CHEAPCRUISES.COM 800-972-7447 MA 01/10,Travel,122.99,66,558
CHENS NOODLE HOUSE OREM UT 10/28,Meals and Entertainment,15.92,67,539
CHEVRON 0073836 PANGUITCH UT 09/27,Gas,7.03,68,516
CHEVRON 0076520 MOUNT CARMEL UT 07/17,Gas,21.43,68,516
CHEVRON 0204564 LEHI UT 08/23,Gas,30.14,68,516
CHEVRON 0207815 PHELAN CA 10/22,Gas,1.98,68,539
CHEVRON 0208662 PROVO UT 11/12,Gas,22.76,68,516
CHEVRON 0208910 WASHINGTON UT 10/18,Gas,31.71,68,516
CHEVRON 0212220 OREM UT 04/06,Gas,30.28,68,516
CHEVRON 0212220 OREM UT 09/03,Gas,29.86,68,516
CHEVRON 0305131 OREM UT 11/03,Gas,30.18,68,516
CHEVRON/CSI-207815/199 PHELAN CA 081148  10/22,Gas,39.68,68,516
"CHEVRON/DWC, INC. MURRAY UT 006903  07/10",Meals and Entertainment,8.3,68,539
CHEVRON/JACKSONS FOOD OREM UT 048723  03/07,Gas,39.73,68,516
CHEVRON/MT CARMEL CHEV MT CARMEL UT  472450  07/17,Meals and Entertainment,4.42,68,539
chevron,Meals and Entertainment,3.24,68,539
chevron,Meals and Entertainment,6.5,68,539
chevron,Meals and Entertainment,7.35,68,539
chevron,Meals and Entertainment,10.5,68,539
chevron,Meals and Entertainment,9.75,68,539
CHEVRON/PWI 803 NEPHI NEPHI UT 102873  07/21,Meals and Entertainment,5.94,68,539
CHICK-FIL-A # 1288 SANDY UT 03/30,Meals and Entertainment,7.66,69,539
CHICK-FIL-A #02833 MURRAY UT 02/16,Meals and Entertainment,7.68,69,539
CHICK-FIL-A #03332 DRAPER UT 06/30,Meals and Entertainment,14.39,69,539
CHICK-FIL-A #03332 DRAPER UT 10/18,Meals and Entertainment,9.38,69,539
CHICK-FIL-A #03350 OREM UT 02/04,Meals and Entertainment,7.65,69,539
CHICK-FIL-A #03350 OREM UT 03/03,Meals and Entertainment,16.72,69,539
CHICK-FIL-A #03350 OREM UT 03/16,Meals and Entertainment,19.93,69,539
CHICK-FIL-A #03350 OREM UT 05/07,Meals and Entertainment,7.67,69,539
CHICK-FIL-A #03350 OREM UT 05/10,Meals and Entertainment,13.78,69,539
CHICK-FIL-A #03350 OREM UT 05/29,Meals and Entertainment,20.33,69,539
CHICK-FIL-A #03350 OREM UT 06/16,Meals and Entertainment,8.82,69,539
CHICK-FIL-A #03350 OREM UT 07/27,Meals and Entertainment,14.48,69,539
CHICK-FIL-A #03350 OREM UT 07/28,Meals and Entertainment,17.94,69,539
CHICK-FIL-A #03350 OREM UT 08/06,Meals and Entertainment,7.17,69,539
CHICK-FIL-A #03350 OREM UT 08/08,Meals and Entertainment,7.67,69,539
CHICK-FIL-A #03350 OREM UT 08/28,Meals and Entertainment,17.94,69,539
CHICK-FIL-A #03350 OREM UT 09/16,Meals and Entertainment,7.67,69,539
CHICK-FIL-A #03350 OREM UT 10/14,Meals and Entertainment,6.89,69,539
CHICK-FIL-A #03350 OREM UT 10/23,Meals and Entertainment,17.92,69,539
CHICK-FIL-A #03350 OREM UT 10/26,Meals and Entertainment,6,69,539
CHICK-FIL-A #03350 OREM UT 10/27,Meals and Entertainment,12.77,69,539
CHICK-FIL-A #03350 OREM UT 11/03,Meals and Entertainment,8.61,69,539
CHICK-FIL-A #03350 OREM UT 11/08,Meals and Entertainment,15.61,69,539
CHICK-FIL-A #03350 OREM UT 12/22,Meals and Entertainment,16.39,69,539
CINEMARK THEATRES 1041 OREM UT 08/06,Meals and Entertainment,9.77,70,539
CINEMARK THEATRES 1041 OREM UT 08/06,Meals and Entertainment,14.96,70,539
CINEMARK THEATRES 285 PROVO UT 12/16,Meals and Entertainment,30.45,70,539
CITGO CONVENIENC MONTEREY TN 776178  07/29,Business Trip,1.71,71,524
CITGO CONVENIENCE MART MONTEREY TN           07/29,Business Trip,29.67,71,524
CITY OF SOUTH JORDAN SOUTH JORDA N UT         07/11,Meals and Entertainment,6,72,539
CITY OF SOUTH JORDAN SOUTH JORDA N UT         07/13,Meals and Entertainment,8,72,539
CLAIRE'S #5783 UNIVERS OREM UT 144565  12/09,Supplies,30.43,73,553
CLAIRE'S #5783 UNIVERS OREM UT 761628  06/03,Personal,14.99,73,541
CO TRATTORIA MARINA DEL RE CA 10/20,Meals and Entertainment,47.34,74,539
COEUR D'ALENE TAP HO COEUR D ALE NE ID        07/30,Meals and Entertainment,39.69,75,539
COLDSTONE 21755 MARINA DEL RE CA 10/20,Meals and Entertainment,14.78,76,539
COLLEGE TRANSCRIPT 703-742-4200 VA           09/25,Employee Benefits,5,77,530
COPPINS HALLMARK 9 OREM UT 08/30,office expense,12.79,78,540
CORELIFE EATERY AMER AMERICAN FO RK UT        10/10,Meals and Entertainment,8.61,79,539
CORNER BAKERY 1629 OREM UT 10/10,Meals and Entertainment,9.48,80,539
CORNER BAKERY CAFE 1629 OREM UT 11/10,Meals and Entertainment,17.08,80,539
CORNER CANYON OBGYN DRAPER UT 05/07,Personal,10,81,541
CORNER CANYON OBGYN DRAPER UT 07/11,Personal,10,81,541
CORNER CANYON OBGYN DRAPER UT 08/26,Personal,125.57,81,541
CORNER CANYON OBGYN DRAPER UT 10/16,Personal,25,81,541
COSMOPROF #8674 1700 N PROVO UT 747163  03/29,Hair,111.01,82,547
COSMOPROF 8906 OREM UT 08/21,Hair,35.21,82,502
COSTCO WHSE #0484 OREM UT 024587  06/27,Supplies,7.52,84,553
COSTCO WHSE #0484 OREM UT 207824  01/17,Meals and Entertainment,98.19,84,539
COSTCO WHSE #0484 OREM UT 239112  06/27,Supplies,79.63,84,553
COSTCO WHSE #0484 OREM UT 263730  01/10,Meals and Entertainment,122.01,84,539
COSTCO WHSE #0484 OREM UT 530991  01/31,Supplies,54.82,84,553
COSTCO WHSE #0484 OREM UT 553017  05/23,Supplies,71.16,84,553
COSTCO WHSE #0484 OREM UT 553841  02/14,Supplies,126.64,84,553
COSTCO WHSE #0484 OREM UT 811312  04/25,Supplies,255.44,84,553
COSTCO WHSE #0484 OREM UT 826543  03/21,Supplies,68.7,84,553
COSTCO WHSE #0484 OREM UT 838292  01/31,Supplies,1.56,84,553
COUNTER CHECK,Meals and Entertainment,8,85,539
COUNTER CHECK,Meals and Entertainment,2,85,539
COUNTER CHECK,Meals and Entertainment,2,85,539
CPK MAIN HNL HONOLULU HI 10/08,Meals and Entertainment,14.65,86,539
CRAVE CAFE STUDIO CITY CA 10/20,Meals and Entertainment,25.98,87,539
CRAVINGS ALISHAS CUP PLEASANT GR OV UT        10/10,Meals and Entertainment,5.31,88,539
CRU BISTRO & WINE BAR KNOXVILLE TN           07/31,Business Trip,15.47,89,524
CULTURE HAIR STUDIO KNOXVILLE TN 07/31,Business Trip,36,90,524
CUPBOP - OREM OREM UT 06/18,Meals and Entertainment,19.78,91,539
CUROLOGY 858-859-1188 CA 04/23,Supplies,19.9,92,553
CUROLOGY 858-859-1188 CA 05/23,Supplies,19.9,92,553
CUROLOGY DERMATOLOGY 858-859-118 8 CA         01/23,Employee Benefits,19.95,92,530
CUROLOGY DERMATOLOGY 858-859-118 8 CA         02/23,Employee Benefits,19.95,92,530
CUROLOGY DERMATOLOGY 858-859-118 8 CA         03/23,Employee Benefits,19.95,92,530
CVS/PHARMACY #09 Studio City CA 003901  10/18,office expense,14.43,93,540
CVS/PHARMACY #10 10225 ANAHEIM C A    844684  08/15,office expense,19.7,93,540
D AND S ACCEPTANCE 909-599-9654 CA           04/25,Uncategorized Expense,39,94,559
D AND S ACCEPTANCE 909-599-9654 CA           05/28,Uncategorized Expense,39,94,559
D AND S ACCEPTANCE 909-599-9654 CA           06/25,Personal,39,94,541
D AND S ACCEPTANCE 909-599-9654 CA           07/25,Personal,39,94,541
D AND S ACCEPTANCE 909-599-9654 CA           08/26,Personal,39,94,541
D AND S ACCEPTANCE 909-599-9654 CA           09/25,Personal,39,94,541
D AND S ACCEPTANCE 909-599-9654 CA           10/25,Personal,39,94,541
DAIRY KEEN HEBER CITY UT 06/03,Meals and Entertainment,7.55,95,539
DAIRY QUEEN #15445 OREM UT 07/12,Meals and Entertainment,4.2,95,539
DAIRY QUEEN #15445 OREM UT 08/20,Meals and Entertainment,3.55,95,539
DAIRY QUEEN #15445 OREM UT 10/26,Meals and Entertainment,5.5,95,539
DAIRY QUEEN #15445 OREM UT 11/22,Meals and Entertainment,8.3,95,539
DAIRY QUEEN #15488 VINEYARD UT 03/09,Meals and Entertainment,12.52,95,539
DAIRY QUEEN #17328 DILLON MT 07/30,Meals and Entertainment,13.15,95,539
DALTON'S STEAKHOUSE LIN LINDON U T            04/04,Meals and Entertainment,50.1,97,539
DBC*BLICK ART MATERIA 800-447-18 92 IL        01/04,Supplies,15.01,98,553
DELTA AIR   00601946981 ATLANTA GA           12/08,Meals and Entertainment,2,99,539
DELTA AIR   00623121792 DELTA.CO M CA         02/03,Travel,158.6,99,558
DELTA AIR   00623121792 DELTA.CO M CA         02/03,Travel,158.6,99,558
DENNY'S #7677 OREM UT 02/26,Meals and Entertainment,27.47,100,539
DEPOSIT ITEM RETURNED FEE: 01 St ale Dated    099003035,Bank Charges,12,101,522
DEPOSITED ITEM RETURNED       St ale Dated    099003035,Bank Charges,50,101,522
DERVISH AND BANGES UNIVERSAL CTY CA          10/19,Meals and Entertainment,34.99,103,539
DESERET BOOK CO #30 OREM UT 678390  09/16,Personal,26.8,104,541
DESERET BOOK CO #45 MIDVALE UT 857554  09/17,Personal,16.07,104,541
DESERET BOOK CO #69 OREM UT 075314  12/24,Personal,37.53,104,541
DESERET BOOK CO #69 OREM UT 519731  08/18,Supplies,100.41,104,553
DIDI CHUXING*6LJ2G62VFT HONG KON G            04/27 CN Renminbi33,Travel,5.26,105,558
DIDI CHUXING*6LJ35DO2HR HONG KON G            05/23 CN Renminbi41,Travel,6.57,105,558
DIDI CHUXING*6LJ3D72423 HONG KON G            06/02 CN Renminbi13,Travel,20.84,105,558
DIDI CHUXING*6OE1HFVDTT HONG KON G            05/23 CN Renminbi37,Travel,5.82,105,558
DIDI CHUXING*6OE25IQ0GS HONG KON G            06/17 CN Renminbi3.,Travel,0.47,105,558
DIDI CHUXING*6R905OIKQ3 HONG KON G            06/02 CN Renminbi15,Travel,23.49,105,558
DIDI CHUXING*6R90IP8RGC HONG KON G            06/18 CN Renminbi9.,Travel,1.48,105,558
DIDI CHUXING*6R90JGGJI3 HONG KON G            06/19 CN Renminbi12,Travel,1.99,105,558
DIDI CHUXING*6R90K7E4Q5 HONG KON G            06/20 CN Renminbi45,Travel,7.09,105,558
DIDI CHUXING*6U3TL5AQ6F HONG KON G            04/27 CN Renminbi7.,Travel,1.14,105,558
DIDI CHUXING*6U3TMASMS4 HONG KON G            04/29 CN Renminbi21,Travel,3.34,105,558
DIDI CHUXING*6U3TMRLTIF HONG KON G            04/29 CN Renminbi15,Travel,2.37,105,558
DIDI CHUXING*6U3UU9P9A4 HONG KON G            06/17 CN Renminbi5.,Travel,0.78,105,558
DIS*DISNEY MOVIE CLUB 800-362-45 87 CA        06/07,Meals and Entertainment,5.97,106,539
DOLLAR TREE OREM UT 042021  08/22,office expense,112.88,107,540
DOMINO'S 7502 734-930-3030 UT 12/30,Meals and Entertainment,19.5,108,539
DOMINO'S 7517 734-930-3030 UT 12/28,Meals and Entertainment,37.93,108,539
DOMINO'S 9105 734-930-3030 UT 02/04,Meals and Entertainment,18.35,108,539
DOMINO'S 9105 734-930-3030 UT 06/17,Meals and Entertainment,18.35,108,539
DOMINO'S 9105 734-930-3030 UT 07/28,Meals and Entertainment,18.35,108,539
DOMINO'S 9105 734-930-3030 UT 08/31,Meals and Entertainment,18.35,108,539
DOMINO'S 9105 734-930-3030 UT 09/02,Meals and Entertainment,18.35,108,539
DOMINO'S PIZZA 7502 OREM UT 06/03,Meals and Entertainment,33.45,108,539
DOORDASH*CAFE RIO ME WWW.DOORDAS H. CA        10/26,Meals and Entertainment,20.44,109,539
DOORDASH*COSTA VIDA WWW.DOORDASH . CA         09/06,Meals and Entertainment,18.02,109,539
DOORDASH*COSTA VIDA WWW.DOORDASH . CA         11/23,Meals and Entertainment,19.6,109,539
DOORDASH*CRUMBL STRIPE.COM CA 06/17,Meals and Entertainment,14.72,109,539
DOORDASH*FIVE GUYS STRIPE.COM CA 06/16,Meals and Entertainment,20.09,109,539
DOORDASH*JAMBA STRIPE.COM CA 06/25,Meals and Entertainment,25.8,109,539
DOORDASH*KNEADERS BAKE STRIPE.CO M CA         06/10,Meals and Entertainment,23.42,109,539
DOORDASH*MIDICI THE NE STRIPE.CO M CA         07/15,Meals and Entertainment,14.33,109,539
DRAPER TACOTIME DRAPER UT 08/08,Meals and Entertainment,15.28,110,539
DRIVER LICENSE PROVO PROVO UT 114339  04/04,Auto,25,111,515
EAGLE STOP NORTH PANGUITCH UT 250427  10/24,Gas,3.39,112,516
EARTHBOUND TRADING CO KNOXVILLE TN           07/31,Business Trip,32.72,113,524
EASYCANVASPRINTS.COM 877-858-458 6 TX         02/20,office expense,109.45,114,540
EINSTEIN BROS BAGELS367 OREM UT 01/10,Meals and Entertainment,10.02,115,539
EINSTEIN BROS BAGELS367 OREM UT 02/19,Meals and Entertainment,16.71,115,539
EINSTEIN BROS BAGELS367 OREM UT 07/09,Meals and Entertainment,6.33,115,539
EINSTEIN BROS BAGELS367 OREM UT 09/13,Meals and Entertainment,10.45,115,539
EINSTEIN BROS BAGELS367 OREM UT 09/18,Meals and Entertainment,3.07,115,539
EL AZTECA OREM UT 07/10,Meals and Entertainment,3.76,116,539
EL AZTECA OREM UT 07/26,Meals and Entertainment,8.61,116,539
ELEARNING AMERICAN HE 888-242-88 83 TX        12/03,Employee Benefits,28.5,117,530
EMISSIONS PLUS SANDY SANDY UT 01/29,Repair,38,118,520
ENTERPRISE RENT-A-CAR DRAPER UT 02/06,Travel,50,119,558
Etsy.com - ADEprints 718-8557955 NY          04/01,office expense,28.38,120,540
Etsy.com 718-8557955 NY 07/22,Personal,14.38,120,541
Etsy.com 718-8557955 NY 07/28,Personal,110,120,541
Etsy.com 718-8557955 NY 08/05,Personal,12.95,120,541
Etsy.com 718-8557955 NY 08/09,Personal,5.93,120,541
EVENT TICKET INSURANC 866-456-31 02 VA        08/07,Personal,18,121,541
EXPRESS.COM 888-397-1980 OH 11/26,Clothing,122.27,122,525
EXPRESS.COM 888-397-1980 OH 11/28,Clothing,47.19,122,525
EXXON EXPRESS SAINT REGIS MT 454185  08/04,Gas,7.66,123,516
EXXONMOBIL    480759 SALT LAKE C IT UT        05/14,Gas,3.79,123,516
EYEBUYDIRECT INC 512-241-0654 TX 06/10,Clothing,34.95,125,525
EYEBUYDIRECT INC 512-241-0654 TX 09/10,Clothing,38.9,125,525
EYEBUYDIRECT INC 512-241-0654 TX 10/01,Clothing,49.12,125,525
FACEBK 6CFAX9N882 650-6187714 CA 12/31,Advertising,5,126,513
FACEBK FLDC3BS882 650-6187714 CA 04/30,Advertising,9.59,126,513
FACEBK PKRVSG6882 650-5434800 CA 01/10,Advertising,25,126,513
FACEBK S6TYLCA882 650-5434800 CA 09/30,Advertising,3.56,126,513
FACEBK X7243CS882 650-5434800 CA 08/31,Advertising,11.44,126,513
FACEBK XHBHEB6882 650-5434800 CA 06/01,Advertising,5.41,126,513
FAMOUS FOOTWEAR #3116 OREM UT 653300  07/11,Clothing,69.44,127,525
FAMOUS FOOTWEAR #3116 OREM UT 966407  06/03,Clothing,32.18,127,525
FANDANGO.COM FANDANGO.COM CA 01/17,Meals and Entertainment,13.68,128,539
FC SMASHBURGER LAS VEGAS NV 02/09,Meals and Entertainment,7.84,129,539
FEDEX 900202346260 MEMPHIS TN 08/30,Shipping and delivery expense,5.61,130,552
FEDEXOFFICE   00055962 OREM UT 01/03,Shipping and delivery expense,1.11,130,552
FEDEXOFFICE   00055962 OREM UT 01/15,Shipping and delivery expense,3.19,130,552
FIDDLER FIFER & PRA ANAHEIM CA 08/15,Meals and Entertainment,4.3,131,539
FIVE GUYS UT 331 QSR SANDY UT 07/07,Meals and Entertainment,22.4,132,539
FLATBREAD COMMUNITY SALT LAKE CI T UT         08/12,Meals and Entertainment,46.9,133,539
FLYING J #743 NEPHI UT 581481  10/22,Gas,10.6,134,516
FORD LOCKER PLANT 801 373 0172 U T    383240  10/13,Personal Expenses,7.14,135,572
FOREIGN EXCHANGE RATE ADJUSTMENT FEE         04/27DIDI CHUX,Bank Charges,0.15,136,522
FOREIGN EXCHANGE RATE ADJUSTMENT FEE         04/27DIDI CHUX,Bank Charges,0.03,136,522
FOREIGN EXCHANGE RATE ADJUSTMENT FEE         04/29DIDI CHUX,Bank Charges,0.1,136,522
FOREIGN EXCHANGE RATE ADJUSTMENT FEE         04/29DIDI CHUX,Bank Charges,0.07,136,522
FOREIGN EXCHANGE RATE ADJUSTMENT FEE         05/23DIDI CHUX,Bank Charges,0.17,136,522
FOREIGN EXCHANGE RATE ADJUSTMENT FEE         05/23DIDI CHUX,Bank Charges,0.19,136,522
FOREIGN EXCHANGE RATE ADJUSTMENT FEE         06/02DIDI CHUX,Bank Charges,0.7,136,522
FOREIGN EXCHANGE RATE ADJUSTMENT FEE         06/02DIDI CHUX,Bank Charges,0.62,136,522
FOREIGN EXCHANGE RATE ADJUSTMENT FEE         06/17DIDI CHUX,Bank Charges,0.01,136,522
FOREIGN EXCHANGE RATE ADJUSTMENT FEE         06/17DIDI CHUX,Bank Charges,0.02,136,522
FOREIGN EXCHANGE RATE ADJUSTMENT FEE         06/18DIDI CHUX,Bank Charges,0.04,136,522
FOREIGN EXCHANGE RATE ADJUSTMENT FEE         06/19DIDI CHUX,Bank Charges,0.05,136,522
FOREIGN EXCHANGE RATE ADJUSTMENT FEE         06/20DIDI CHUX,Bank Charges,0.21,136,522
FRANCESCA'S B312 OREM UT 221515  12/24,Clothing,34.35,137,525
FRONTIER AI GDH1YK 720-3744390 C O            07/22,Travel,269.1,138,558
FRONTIER AI GDH1YK 720-3744390 C O            07/22,Travel,78,138,558
FRONTIER AI T499JY 720-3744390 C O            06/22,Travel,577.6,138,558
FROSTY DRIVE IN SAINT REGIS MT 08/04,Meals and Entertainment,27.86,139,539
GALIVAN CENTER SALT LAKE CIT UT 12/11,Meals and Entertainment,18,140,539
GAP US 8405 OREM UT 712433  09/26,Clothing,72.03,141,525
GET AIR HANG TIME OREM UT 10/13,Meals and Entertainment,21.37,142,539
GLAM NAILS SOUTH JORDAN UT 018655  06/06,Personal,33,143,541
GLAMOUR NAILS & SPA SOUTH JORDAN UT          02/02,Advertising,30,144,513
GREAT HARVEST DRAPER DRAPER UT 08/26,Meals and Entertainment,5.55,145,539
GROVE SLC JAMBA JUIC SALT LAKE C IT UT        08/13,Meals and Entertainment,20.04,146,539
GRUBHUBCOSTAVIDAFRESH GRUBHUB.CO M NY         08/31,Meals and Entertainment,29.13,147,539
GRUBHUBCOSTAVIDAOREMU 8775851085 NY          01/20,Meals and Entertainment,24.08,147,539
GRUBHUBLITTLECAESARS 8775851085 NY           12/02,Meals and Entertainment,7.43,147,539
H&M0257 SALT LAKE CIT UT 08/12,Clothing,56.61,148,525
H&M0329 OREM UT 07/11,Clothing,77.96,148,525
HALLOWEEN CITY # 108 Rancho Cuca mo CA810811  10/27,office expense,10.67,149,540
HARD ROCK VEGAS STRIP R LAS VEGA S NV         02/10,Meals and Entertainment,36.08,150,539
HARMONS - BANGERTER DRAPER UT 685365  08/05,Meals and Entertainment,3.61,151,539
HARMONS - OREM FUEL OREM UT 319545  11/23,Gas,39.08,151,516
HARMONS - OREM FUEL OREM UT 475473  10/26,Gas,32.53,151,516
HARMONS - OREM FUEL OREM UT 999863  12/20,Gas,36.17,151,516
HARMONS - OREM OREM UT 042933  10/18,Groceries,2.86,151,568
HARMONS - OREM OREM UT 053142  12/07,Groceries,1.88,151,568
HARMONS - OREM OREM UT 088458  11/15,Groceries,16.64,151,568
HARMONS - OREM OREM UT 108746  12/20,Groceries,6.37,151,568
HARMONS - OREM OREM UT 143005  09/27,Groceries,19.9,151,568
HARMONS - OREM OREM UT 214000  07/12,Supplies,17.27,151,553
HARMONS - OREM OREM UT 235899  09/28,Groceries,6.17,151,568
